,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,-502260.0,109.0,109.0,19.91,20.5073,-299999.8980000003,-0.030000000000000027,2023-03-28,2023-03-28,0 days,850
1,-453482.0,137.0,138.0,21.39,22.021399999999996,-286328.53479999804,-0.029518466573164925,2023-04-25,2023-04-26,1 days,850
2,-433011.0,147.0,147.0,21.74,22.392199999999995,-282409.7741999987,-0.029999999999999805,2023-05-05,2023-05-05,0 days,850
3,-416762.0,149.0,149.0,21.91,22.5673,-273937.66259999975,-0.030000000000000027,2023-05-07,2023-05-07,0 days,850
4,-475178.0,181.0,182.0,18.64,19.1992,-265719.5376000003,-0.030000000000000027,2023-06-08,2023-06-09,1 days,850
0,493096.0,95.0,95.0,20.28,20.482800000000005,99999.86880000168,0.010000000000000231,2023-09-30,2023-09-30,0 days,1050
