,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,-63653,103,104,157.1,160.23180000000002,-199348.4654000017,-0.01993507320178245,2021-10-09 02:00:00,2021-10-09 03:00:00,0 days 01:00:00,10050
1,66816,191,191,146.68,149.61360000000002,196011.41760000086,0.020000000000000018,2021-10-12 18:00:00,2021-10-12 18:00:00,0 days 00:00:00,10050
2,-62919,288,296,158.88,162.0576,-199931.4144000008,-0.020000000000000018,2021-10-16 19:00:00,2021-10-17 03:00:00,0 days 08:00:00,10050
3,-61680,313,313,158.83,155.65340000000003,195932.6879999987,0.019999999999999907,2021-10-17 20:00:00,2021-10-17 20:00:00,0 days 00:00:00,10050
4,-50907,437,437,196.29,192.36419999999998,199850.70060000048,0.020000000000000018,2021-10-23 00:00:00,2021-10-23 00:00:00,0 days 00:00:00,10050
5,-51591,452,453,197.56,201.54180000000002,-205425.0438000011,-0.02015488965377621,2021-10-23 15:00:00,2021-10-23 16:00:00,0 days 01:00:00,10050
6,-48356,516,517,206.53,210.66060000000002,-199739.29360000073,-0.020000000000000018,2021-10-26 07:00:00,2021-10-26 08:00:00,0 days 01:00:00,10050
7,-47218,521,523,207.28,203.1344,195746.94080000007,0.020000000000000018,2021-10-26 12:00:00,2021-10-26 14:00:00,0 days 02:00:00,10050
8,-50665,609,619,197.04,193.0992,199660.63199999978,0.020000000000000018,2021-10-30 04:00:00,2021-10-30 14:00:00,0 days 10:00:00,10050
9,-42773,760,763,238.06,233.2988,203650.8076000001,0.020000000000000018,2021-11-05 11:00:00,2021-11-05 14:00:00,0 days 03:00:00,10050
10,-41598,816,821,249.68,244.6962,207316.1124000001,0.01996074975969242,2021-11-07 19:00:00,2021-11-08 00:00:00,0 days 05:00:00,10050
11,-43188,850,860,245.29,240.3842,211871.69039999996,0.020000000000000018,2021-11-09 05:00:00,2021-11-09 15:00:00,0 days 10:00:00,10050
12,-45753,1010,1013,236.17,231.4564,215661.34079999934,0.019958504467121108,2021-11-15 21:00:00,2021-11-16 00:00:00,0 days 03:00:00,10050
13,-52144,1138,1149,211.36,215.56680000000003,-219359.3792000008,-0.019903482210446688,2021-11-21 05:00:00,2021-11-21 16:00:00,0 days 11:00:00,10050
14,-49927,1166,1167,216.35,220.66680000000002,-215524.87360000145,-0.019952854171481516,2021-11-22 09:00:00,2021-11-22 10:00:00,0 days 01:00:00,10050
15,-48771,1209,1218,217.06,212.7874,208378.97460000054,0.01968395835252934,2021-11-24 04:00:00,2021-11-24 13:00:00,0 days 09:00:00,10050
16,-53121,1356,1360,203.21,207.264,-215352.5340000001,-0.019949805619802197,2021-11-30 07:00:00,2021-11-30 11:00:00,0 days 04:00:00,10050
17,-47166,1437,1437,224.3,219.7846,212973.3564,0.020131074453856423,2021-12-03 16:00:00,2021-12-03 16:00:00,0 days 00:00:00,10050
18,-56670,1571,1577,190.44,186.641,215289.33000000037,0.019948540222642364,2021-12-09 06:00:00,2021-12-09 12:00:00,0 days 06:00:00,10050
19,-61347,1762,1764,179.43,179.43,-0.0,-0.0,2021-12-17 05:00:00,2021-12-17 07:00:00,0 days 02:00:00,10050
20,-61347,1764,1764,179.43,175.8414,220149.84420000084,0.02000000000000013,2021-12-17 07:00:00,2021-12-17 07:00:00,0 days 00:00:00,10050
21,-62259,1825,1834,180.34,176.72340000000003,225165.89939999857,0.02005434179882426,2021-12-19 20:00:00,2021-12-20 05:00:00,0 days 09:00:00,10050
22,-63564,1898,1901,180.18,176.55679999999998,230305.0848000016,0.020108780108780255,2021-12-22 21:00:00,2021-12-23 00:00:00,0 days 03:00:00,10050
