,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
4,98352,349,350,95.58,98.4577,283027.5504000004,0.03010776313036212,2022-02-28 16:00:00,2022-02-28 20:00:00,0 days 04:00:00,3050
5,108914,403,403,88.91,86.2427,-290506.3121999997,-0.030000000000000027,2022-03-09 16:00:00,2022-03-09 16:00:00,0 days 00:00:00,3050
6,113388,441,441,82.84,85.3252,281791.85759999906,0.029999999999999805,2022-03-16 00:00:00,2022-03-16 00:00:00,0 days 00:00:00,3050
0,-97437,165,166,102.63,99.54140000000001,300943.91819999856,0.030094514274578432,2022-04-22 08:00:00,2022-04-22 12:00:00,0 days 04:00:00,3550
0,-272405,143,143,36.71,35.608700000000006,299999.6264999986,0.029999999999999805,2022-07-11 00:00:00,2022-07-11 00:00:00,0 days 00:00:00,4050
1,-247298,275,275,41.65,40.4005,308998.8509999994,0.029999999999999916,2022-08-02 00:00:00,2022-08-02 00:00:00,0 days 00:00:00,4050
2,-262989,323,326,40.34,41.5399,-315560.5010999999,-0.029744670302429332,2022-08-10 00:00:00,2022-08-10 12:00:00,0 days 12:00:00,4050
3,-234902,358,368,43.82,42.49570000000001,311080.71859999857,0.03022136010953891,2022-08-15 20:00:00,2022-08-17 12:00:00,1 days 16:00:00,4050
0,-307976,107,109,32.47,33.4441,-299999.4216,-0.030000000000000027,2022-09-26 08:00:00,2022-09-26 16:00:00,0 days 08:00:00,4550
1,-300030,119,121,32.33,33.2896,-287908.7880000005,-0.029681410454686086,2022-09-28 08:00:00,2022-09-28 16:00:00,0 days 08:00:00,4550
2,-285128,137,146,33.01,32.0197,282362.25839999935,0.029999999999999916,2022-10-01 08:00:00,2022-10-02 20:00:00,1 days 12:00:00,4550
3,-294664,175,194,32.9,31.922699999999995,287975.1272000009,0.029705167173252334,2022-10-07 16:00:00,2022-10-10 20:00:00,3 days 04:00:00,4550
4,-332415,244,248,30.03,29.1291,299472.67350000003,0.030000000000000027,2022-10-19 04:00:00,2022-10-19 20:00:00,0 days 16:00:00,4550
5,-324145,329,331,31.72,32.6819,-311795.0755,-0.030324716267339236,2022-11-02 08:00:00,2022-11-02 16:00:00,0 days 08:00:00,4550
