,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,174,110,110,57315.49,57887.8975,99598.9050000002,0.009986959895134762,2021-05-08,2021-05-08,0 days,1250
1,285,189,189,35381.02,35734.8302,100835.90699999998,0.010000000000000009,2021-07-26,2021-07-26,0 days,1250
2,211,259,259,48200.01,48682.0101,101702.02109999946,0.010000000000000009,2021-10-04,2021-10-04,0 days,1250
0,-260,113,113,38420.8,38805.018099999994,-99896.70599999765,-0.01000026287844058,2022-03-07,2022-03-07,0 days,1550
1,-234,148,148,42158.85,40472.496,394606.83599999984,0.040000000000000036,2022-04-11,2022-04-11,0 days,1550
0,583,121,121,17127.83,17299.1083,99855.2488999989,0.009999999999999787,2023-01-09,2023-01-09,0 days,1850
1,415,187,187,24285.66,24528.516600000003,100785.48900000117,0.010000000000000009,2023-03-16,2023-03-16,0 days,1850
0,370,84,86,27021.39,27832.0317,299937.42900000006,0.030000000000000027,2023-09-29,2023-10-01,2 days,2150
1,-161,282,283,63924.52,65842.24530000001,-308753.77330000204,-0.029999838872470486,2024-04-14,2024-04-15,1 days,2150
