,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
1,4040,176,176,2573.84,2470.8768,-415971.32800000056,-0.04000372983557643,2022-01-26 20:00:00,2022-01-26 20:00:00,0 days 00:00:00,9550
2,3928,190,192,2541.48,2592.3096,199658.6688000001,0.020000000000000018,2022-01-29 04:00:00,2022-01-29 12:00:00,0 days 08:00:00,9550
3,-3402,272,275,2992.9,2873.1744,407306.49120000075,0.040003207591299494,2022-02-11 20:00:00,2022-02-12 08:00:00,0 days 12:00:00,9550
4,-3639,308,312,2910.37,2793.9456,423668.39159999957,0.040003298549668886,2022-02-17 20:00:00,2022-02-18 12:00:00,0 days 16:00:00,9550
5,4030,355,356,2732.79,2787.4458,220262.874,0.020000000000000018,2022-02-25 16:00:00,2022-02-25 20:00:00,0 days 04:00:00,9550
6,4092,425,430,2744.99,2635.2,-449260.6799999999,-0.03999650271949984,2022-03-09 08:00:00,2022-03-10 04:00:00,0 days 20:00:00,9550
0,-2991,92,94,3342.84,3242.5645,299924.02050000057,0.029997098275717726,2022-04-06 04:00:00,2022-04-06 12:00:00,0 days 08:00:00,10050
1,-3438,188,188,2995.41,3025.3641,-102982.19579999974,-0.010000000000000009,2022-04-22 04:00:00,2022-04-22 04:00:00,0 days 00:00:00,10050
2,-5609,433,434,1817.96,1836.1295,-101912.72549999984,-0.009994444322207308,2022-06-02 00:00:00,2022-06-02 04:00:00,0 days 04:00:00,10050
0,-6164,298,299,1622.28,1654.7153999999998,-199931.80559999903,-0.019993712552703435,2022-08-01 20:00:00,2022-08-02 00:00:00,0 days 04:00:00,10550
1,-5870,348,349,1669.5,1702.8798000000002,-195939.42600000094,-0.01999389038634325,2022-08-10 04:00:00,2022-08-10 08:00:00,0 days 04:00:00,10550
2,-5057,383,384,1899.05,1861.0788,192020.35839999976,0.019994839525025676,2022-08-16 00:00:00,2022-08-16 04:00:00,0 days 04:00:00,10550
0,-7512,201,206,1331.1,1304.478,199984.4639999988,0.019999999999999907,2022-10-08 00:00:00,2022-10-08 20:00:00,0 days 20:00:00,11050
1,-7817,271,273,1304.76,1278.6648,203986.17839999983,0.020000000000000018,2022-10-19 16:00:00,2022-10-20 00:00:00,0 days 08:00:00,11050
