,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades
0,2019-05-29,2019-12-14,199 days,0.5,9700000.048,10000000.0,-2.999999519999996,-47.25663058438418,-5.407126394034645,3.8454259743286943,0.0,0.0,0.0,-2.9999995199999963,-2.9999995199999963,79 days,79 days,1,0.0,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027,0 days,0 days,0.0,-3.0000000000000027,,"BBRSIADXEMA(stlo=970,tkpr=1030,dema_var=40,multiplier=3)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2019-05-29  1.000000e+07         0.00              NaT
2019-05-30  1.000000e+07         0.00              NaT
2019-05-31  1.000000e+07         0.00              NaT
2019-06-01  1.000000e+07         0.00              NaT
2019-06-02  1.000000e+07         0.00              NaT
...                  ...          ...              ...
2019-12-10  9.700000e+06         0.03              NaT
2019-12-11  9.700000e+06         0.03              NaT
2019-12-12  9.700000e+06         0.03              NaT
2019-12-13  9.700000e+06         0.03              NaT
2019-12-14  9.700000e+06         0.03          79 days

[200 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice         PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0 -60270       121      121      165.92   170.8976 -299999.952      -0.03 2019-09-27 2019-09-27   0 days             650"
1,2019-12-15,2020-07-01,199 days,0.5,10100611.9435,10100611.9435,1.0061194349999911,62.143759651832085,1.8437840521676296,1.3877215195781942,1.328641248373851,inf,,-0.0,,,,1,100.0,1.0061353419997587,1.0061353419997587,1.0061353419997587,0 days,0 days,,1.0061353419997587,,"BBRSIADXEMA(stlo=970,tkpr=1010,dema_var=40,multiplier=2)","                  Equity  DrawdownPct  DrawdownDuration
Date                                                   
2019-12-15  1.000000e+07          0.0               NaN
2019-12-16  1.000000e+07          0.0               NaN
2019-12-17  1.000000e+07          0.0               NaN
2019-12-18  1.000000e+07          0.0               NaN
2019-12-19  1.000000e+07          0.0               NaN
...                  ...          ...               ...
2020-06-27  1.010061e+07          0.0               NaN
2020-06-28  1.010061e+07          0.0               NaN
2020-06-29  1.010061e+07          0.0               NaN
2020-06-30  1.010061e+07          0.0               NaN
2020-07-01  1.010061e+07          0.0               NaN

[200 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0  60745       115      115      164.62   166.2763  100611.9435   0.010061 2020-04-08 2020-04-08   0 days             850"
2,2020-07-02,2021-01-17,199 days,0.5,10299715.530000001,10299715.530000001,2.9971553000000117,444.224145544467,5.537315913442509,4.284986217843169,1.2922599121519915,inf,,-0.0,,,,1,100.0,2.99724724055912,2.99724724055912,2.99724724055912,0 days,0 days,,2.99724724055912,,"BBRSIADXEMA(stlo=970,tkpr=1030,dema_var=40,multiplier=2)","                 Equity  DrawdownPct  DrawdownDuration
Date                                                  
2020-07-02  10000000.00          0.0               NaN
2020-07-03  10000000.00          0.0               NaN
2020-07-04  10000000.00          0.0               NaN
2020-07-05  10000000.00          0.0               NaN
2020-07-06  10000000.00          0.0               NaN
...                 ...          ...               ...
2021-01-13  10299715.53          0.0               NaN
2021-01-14  10299715.53          0.0               NaN
2021-01-15  10299715.53          0.0               NaN
2021-01-16  10299715.53          0.0               NaN
2021-01-17  10299715.53          0.0               NaN

[200 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0  26725       102      102      374.17   385.3848  299715.53   0.029972 2020-10-12 2020-10-12   0 days            1050"
3,2021-01-18,2021-08-05,199 days,1.5,9598979.166000001,10000000.0,-4.010208339999989,124.64062934562357,-7.197278035786969,5.33425248009942,0.0,0.0,0.0,-4.971999959999995,-4.971999959999995,77 days,77 days,3,33.33333333333333,1.01224072070778,-3.9867371829465648,-1.3553692096107905,0 days,0 days,0.20187865262827928,-1.3339546923490895,-0.9381458190760219,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2021-01-18  1.000000e+07     0.000000              NaT
2021-01-19  1.000000e+07     0.000000              NaT
2021-01-20  1.000000e+07     0.000000              NaT
2021-01-21  1.000000e+07     0.000000              NaT
2021-01-22  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2021-08-01  9.598979e+06     0.040102              NaT
2021-08-02  9.598979e+06     0.040102              NaT
2021-08-03  9.598979e+06     0.040102              NaT
2021-08-04  9.598979e+06     0.040102              NaT
2021-08-05  9.598979e+06     0.040102          77 days

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0 -3612       123      123     2767.87  2796.3062 -102711.5544  -0.010274 2021-05-21 2021-05-21   0 days            1250
1  4272       171      171     2316.25  2223.9072 -394488.4416  -0.039867 2021-07-08 2021-07-08   0 days            1250
2  4265       190      190     2227.81  2250.3608   96179.1620   0.010122 2021-07-27 2021-07-27   0 days            1250"
4,2021-08-06,2022-02-21,199 days,1.0,9801058.841,10000000.0,-1.9894115899999998,-11.189730182114968,-3.600846871185326,1.8414616891592226,0.0,0.0,0.0,-1.989411590000001,-1.989411590000001,95 days,95 days,2,0.0,-1.0000000000000009,-1.0000000000000009,-1.0000000000000009,0 days,0 days,0.0,-1.0000000000000009,-202.2213922027356,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=50,multiplier=2)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2021-08-06  1.000000e+07     0.000000              NaT
2021-08-07  1.000000e+07     0.000000              NaT
2021-08-08  1.000000e+07     0.000000              NaT
2021-08-09  1.000000e+07     0.000000              NaT
2021-08-10  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2022-02-17  9.801059e+06     0.019894              NaT
2022-02-18  9.801059e+06     0.019894              NaT
2022-02-19  9.801059e+06     0.019894              NaT
2022-02-20  9.801059e+06     0.019894              NaT
2022-02-21  9.801059e+06     0.019894          95 days

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0 -2501       105      105     3996.90  4036.8690 -99962.469      -0.01 2021-11-19 2021-11-19   0 days            1450
1 -2404       121      121     4117.25  4158.4225 -98978.690      -0.01 2021-12-05 2021-12-05   0 days            1450"
5,2022-02-22,2022-09-09,199 days,0.5,10100067.6875,10100067.6875,1.0006768750000001,-34.823938185859674,1.833769229072968,1.3800786585765188,1.328742544982478,inf,,-0.0,,,,1,100.0,1.0007449256549616,1.0007449256549616,1.0007449256549616,0 days,0 days,,1.0007449256549616,,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                  Equity  DrawdownPct  DrawdownDuration
Date                                                   
2022-02-22  1.000000e+07          0.0               NaN
2022-02-23  1.000000e+07          0.0               NaN
2022-02-24  1.000000e+07          0.0               NaN
2022-02-25  1.000000e+07          0.0               NaN
2022-02-26  1.000000e+07          0.0               NaN
...                  ...          ...               ...
2022-09-05  1.010007e+07          0.0               NaN
2022-09-06  1.010007e+07          0.0               NaN
2022-09-07  1.010007e+07          0.0               NaN
2022-09-08  1.010007e+07          0.0               NaN
2022-09-09  1.010007e+07          0.0               NaN

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0  7375       145      145     1355.84  1369.4085  100067.6875   0.010007 2022-07-17 2022-07-17   0 days            1650"
6,2022-09-10,2023-03-28,199 days,1.5,9793003.173799999,10000000.0,-2.0699682620000095,-0.06369354947804443,-3.7453966166501984,5.544928291873355,0.0,0.0,0.0,-3.9987862199999946,-3.9987862199999946,112 days,112 days,3,66.66666666666666,1.0000000000000009,-3.9992448733983,-0.6949559009790995,0 days,0 days,0.4998925723430438,-0.6666840220684978,-0.4170631491458268,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2022-09-10  1.000000e+07       0.0000              NaT
2022-09-11  1.000000e+07       0.0000              NaT
2022-09-12  1.000000e+07       0.0000              NaT
2022-09-13  1.000000e+07       0.0000              NaT
2022-09-14  1.000000e+07       0.0000              NaT
...                  ...          ...              ...
2023-03-24  9.793003e+06       0.0207              NaT
2023-03-25  9.793003e+06       0.0207              NaT
2023-03-26  9.793003e+06       0.0207              NaT
2023-03-27  9.793003e+06       0.0207              NaT
2023-03-28  9.793003e+06       0.0207         112 days

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0  7865        88       88     1271.31  1220.4672 -399878.6220  -0.039992 2022-12-07 2022-12-07   0 days            1850
1  7499        90       90     1280.18  1292.9818   96000.6982   0.010000 2022-12-09 2022-12-09   0 days            1850
2  7749       118      118     1251.25  1263.7524   96881.0976   0.009992 2023-01-06 2023-01-06   0 days            1850"
7,2023-03-29,2023-10-14,199 days,12.0,10399970.0,10399970.0,3.9997,-13.280574656873402,7.419606691504299,5.617048687348576,1.3209083816944067,2.5639776315923766,4.506665110613073,-1.6463630000000062,-1.1447806097341342,9 days,7 days,1,100.0,4.0000000000000036,4.0000000000000036,4.0000000000000036,23 days,23 days,,4.0000000000000036,,"BBRSIADXEMA(stlo=960,tkpr=1030,dema_var=40,multiplier=2)","                Equity  DrawdownPct DrawdownDuration
Date                                                
2023-03-29  10000000.0          0.0              NaT
2023-03-30  10000000.0          0.0              NaT
2023-03-31  10000000.0          0.0              NaT
2023-04-01  10000000.0          0.0              NaT
2023-04-02  10000000.0          0.0              NaT
...                ...          ...              ...
2023-10-10  10399970.0          0.0              NaT
2023-10-11  10399970.0          0.0              NaT
2023-10-12  10399970.0          0.0              NaT
2023-10-13  10399970.0          0.0              NaT
2023-10-14  10399970.0          0.0              NaT

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0 -5405       118      141      1850.0     1776.0  399970.0       0.04 2023-07-25 2023-08-17  23 days            2050"
8,2023-10-15,2024-05-01,199 days,1.0,9700073.528800001,10000000.0,-2.9992647119999862,90.8150753962395,-5.405818643864246,2.898839953309018,0.0,0.0,0.0,-2.9992647119999827,-2.9992647119999827,29 days,29 days,1,0.0,-3.0000000000000027,-3.0000000000000027,-3.0000000000000027,1 days,1 days,0.0,-3.0000000000000027,,"BBRSIADXEMA(stlo=960,tkpr=1030,dema_var=40,multiplier=2)","                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2023-10-15  1.000000e+07     0.000000              NaT
2023-10-16  1.000000e+07     0.000000              NaT
2023-10-17  1.000000e+07     0.000000              NaT
2023-10-18  1.000000e+07     0.000000              NaT
2023-10-19  1.000000e+07     0.000000              NaT
...                  ...          ...              ...
2024-04-27  9.700074e+06     0.029993              NaT
2024-04-28  9.700074e+06     0.029993              NaT
2024-04-29  9.700074e+06     0.029993              NaT
2024-04-30  9.700074e+06     0.029993              NaT
2024-05-01  9.700074e+06     0.029993          29 days

[200 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct  EntryTime   ExitTime Duration  Validation_Set
0 -3049       171      172     3278.96  3377.3288 -299926.4712      -0.03 2024-04-03 2024-04-04   1 days            2250"
