,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,_equity_curve,_trades
0,2021-10-03 08:45:00,2022-01-15 12:30:00,104 days 03:45:00,27.63,12310921.499099988,12802207.447899994,23.109214990999885,-16.029069767441857,105.99998645632733,104.58517563961868,1.0135278332522368,2.89729166360944,6.471406280701553,-16.37974527614361,-2.527503071508707,35 days 18:00:00,2 days 10:43:00,144,59.02777777777778,3.007515505290015,-3.0377823193418196,0.14448075462674126,0 days 19:30:00,0 days 04:38:00,1.2095415719404101,0.164194796855257,0.8770835384932824,"BBRSIADXEMA(stlo=980,tkpr=1030,dema_var=40,multiplier=3)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2021-10-03 08:45:00  1.000000e+07     0.000000              NaT
2021-10-03 09:00:00  1.000000e+07     0.000000              NaT
2021-10-03 09:15:00  1.000000e+07     0.000000              NaT
2021-10-03 09:30:00  1.000000e+07     0.000000              NaT
2021-10-03 09:45:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2022-01-15 11:30:00  1.231092e+07     0.038375              NaT
2022-01-15 11:45:00  1.231092e+07     0.038375              NaT
2022-01-15 12:00:00  1.231092e+07     0.038375              NaT
2022-01-15 12:15:00  1.231092e+07     0.038375              NaT
2022-01-15 12:30:00  1.231092e+07     0.038375           8 days

[10000 rows x 3 columns]","      Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0   -60448       123      131      165.43   170.4032 -300619.9936  -0.030062 2021-10-04 15:30:00 2021-10-04 17:30:00 0 days 02:00:00           40050
1   -58539       191      219      165.69   162.3664  194560.2204   0.020059 2021-10-05 08:30:00 2021-10-05 15:30:00 0 days 07:00:00           40050
2   -63873       409      442      154.90   155.1200  -14052.0600  -0.001420 2021-10-07 15:00:00 2021-10-07 23:15:00 0 days 08:15:00           40050
3   -63691       442      454      155.12   154.7200   25476.4000   0.002579 2021-10-07 23:15:00 2021-10-08 02:15:00 0 days 03:00:00           40050
4   -64021       454      477      154.72   159.3616 -297159.8736  -0.030000 2021-10-08 02:15:00 2021-10-08 08:00:00 0 days 05:45:00           40050
..     ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
139  89933      9555     9616      135.25   137.0500  161879.4000   0.013309 2022-01-10 21:30:00 2022-01-11 12:45:00 0 days 15:15:00           40050
140  89933      9616     9632      137.05   141.1718  370685.8394   0.030075 2022-01-11 12:45:00 2022-01-11 16:45:00 0 days 04:00:00           40050
141  88258      9699     9700      143.85   140.9632 -254783.1944  -0.020068 2022-01-12 09:30:00 2022-01-12 09:45:00 0 days 00:15:00           40050
142 -82902      9763     9809      150.07   154.5721 -373233.0942  -0.030000 2022-01-13 01:30:00 2022-01-13 13:00:00 0 days 11:30:00           40050
143 -79804      9826     9835      151.22   148.1760  242923.3760   0.020130 2022-01-13 17:15:00 2022-01-13 19:30:00 0 days 02:15:00           40050

[144 rows x 11 columns]"
1,2022-01-15 12:45:00,2022-04-29 16:30:00,104 days 03:45:00,26.88,14894435.962999985,14894435.962999985,48.944359629999845,-34.45917944467468,299.4519954486788,169.31869131510368,1.7685702217683448,10.970027478638201,24.9139587849469,-12.019446529292999,-2.1856791136294795,18 days 00:15:00,1 days 14:31:00,130,57.692307692307686,3.0226722430112263,-3.0256282657377565,0.3069353659107099,0 days 23:15:00,0 days 05:00:00,1.4321549847731065,0.3282051358800064,1.634171975661336,"BBRSIADXEMA(stlo=980,tkpr=1030,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2022-01-15 12:45:00  1.000000e+07          0.0              NaT
2022-01-15 13:00:00  1.000000e+07          0.0              NaT
2022-01-15 13:15:00  1.000000e+07          0.0              NaT
2022-01-15 13:30:00  1.000000e+07          0.0              NaT
2022-01-15 13:45:00  1.000000e+07          0.0              NaT
...                           ...          ...              ...
2022-04-29 15:30:00  1.489444e+07          0.0              NaT
2022-04-29 15:45:00  1.489444e+07          0.0              NaT
2022-04-29 16:00:00  1.489444e+07          0.0              NaT
2022-04-29 16:15:00  1.489444e+07          0.0              NaT
2022-04-29 16:30:00  1.489444e+07          0.0              NaT

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    -67517        93       99      148.11   147.2400   58739.7900   0.005874 2022-01-16 12:00:00 2022-01-16 13:30:00 0 days 01:30:00           50050
1    -68315        99      103      147.24   151.6366 -300353.7290  -0.029860 2022-01-16 13:30:00 2022-01-16 14:30:00 0 days 01:00:00           50050
2    -65492       119      146      149.00   146.0298  194524.3384   0.019934 2022-01-16 18:30:00 2022-01-17 01:15:00 0 days 06:45:00           50050
3    -72185       348      362      137.88   135.1812  194812.8780   0.019574 2022-01-19 03:45:00 2022-01-19 07:15:00 0 days 03:30:00           50050
4    -74445       401      467      136.31   136.0900   16377.9000   0.001614 2022-01-19 17:00:00 2022-01-20 09:30:00 0 days 16:30:00           50050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
125 -141341      9673     9680      100.64   100.7700  -18374.3300  -0.001292 2022-04-26 07:00:00 2022-04-26 08:45:00 0 days 01:45:00           50050
126 -140976      9680     9700      100.77    98.7448  285504.5952   0.020097 2022-04-26 08:45:00 2022-04-26 13:45:00 0 days 05:00:00           50050
127 -147678      9794     9887       98.13    99.3100 -174260.0400  -0.012025 2022-04-27 13:15:00 2022-04-28 12:30:00 0 days 23:15:00           50050
128 -144169      9887     9892       99.31    97.3238  286348.4678   0.020000 2022-04-28 12:30:00 2022-04-28 13:45:00 0 days 01:15:00           50050
129 -148427      9921     9972       98.39    96.4320  290620.0660   0.019900 2022-04-28 21:00:00 2022-04-29 09:45:00 0 days 12:45:00           50050

[130 rows x 11 columns]"
2,2022-04-29 16:45:00,2022-08-11 20:30:00,104 days 03:45:00,13.68,12051561.081599994,12807999.247600004,20.515610815999935,-54.4199768201454,91.30308313855325,70.42567827176825,1.2964459182944665,3.6888468026733405,6.954941947257435,-13.12779945985848,-1.5888094156205055,38 days 20:15:00,2 days 06:47:00,152,59.86842105263158,3.0182365106222853,-3.058486584262887,0.12284491484397808,0 days 12:00:00,0 days 02:02:00,1.2257673571265506,0.1357002078443392,0.9342956483854886,"BBRSIADXEMA(stlo=970,tkpr=1010,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2022-04-29 16:45:00  1.000000e+07     0.000000              NaT
2022-04-29 17:00:00  1.000000e+07     0.000000              NaT
2022-04-29 17:15:00  1.000000e+07     0.000000              NaT
2022-04-29 17:30:00  1.000000e+07     0.000000              NaT
2022-04-29 17:45:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2022-08-11 19:30:00  1.202725e+07     0.060958              NaT
2022-08-11 19:45:00  1.202185e+07     0.061379              NaT
2022-08-11 20:00:00  1.208127e+07     0.056740              NaT
2022-08-11 20:15:00  1.205156e+07     0.059060              NaT
2022-08-11 20:30:00  1.205156e+07     0.059060 17 days 06:45:00

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0   -113960       201      206       87.75    88.6275  -99999.9000  -0.010000 2022-05-01 19:00:00 2022-05-01 20:15:00 0 days 01:15:00           60050
1   -110849       238      240       89.31    90.2132 -100118.8168  -0.010113 2022-05-02 04:15:00 2022-05-02 04:45:00 0 days 00:30:00           60050
2   -110483       255      289       88.70    86.0487  292923.5779   0.029891 2022-05-02 08:30:00 2022-05-02 17:00:00 0 days 08:30:00           60050
3   -114638       356      369       88.04    87.8600   20634.8400   0.002045 2022-05-03 09:45:00 2022-05-03 13:00:00 0 days 03:15:00           60050
4   -115108       369      393       87.86    85.2242  303401.6664   0.030000 2022-05-03 13:00:00 2022-05-03 19:00:00 0 days 06:00:00           60050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
147  297160      9741     9767       42.43    41.1668 -375372.5120  -0.029771 2022-08-09 04:00:00 2022-08-09 10:30:00 0 days 06:30:00           60050
148  302501      9812     9824       40.44    39.2365 -364059.9535  -0.029760 2022-08-09 21:45:00 2022-08-10 00:45:00 0 days 03:00:00           60050
149  299120      9854     9866       39.68    40.0768  118690.8160   0.010000 2022-08-10 08:15:00 2022-08-10 11:15:00 0 days 03:00:00           60050
150 -273070      9961     9965       43.90    44.3390 -119877.7300  -0.010000 2022-08-11 11:00:00 2022-08-11 12:00:00 0 days 01:00:00           60050
151 -270093      9978     9999       43.94    43.2600  183663.2400   0.015476 2022-08-11 15:15:00 2022-08-11 20:30:00 0 days 05:15:00           60050

[152 rows x 11 columns]"
3,2022-08-11 20:45:00,2022-11-24 00:30:00,104 days 03:45:00,28.15,12800722.640899997,14743215.050900005,28.007226408999976,-67.36769124104461,134.01884417624507,104.40876376949193,1.2835976534702076,4.962503950224794,7.195790991815299,-18.624616019098106,-1.6470703386441687,32 days 19:15:00,1 days 16:24:00,136,33.82352941176471,4.030274361400199,-4.0000000000000036,0.18172148102972852,1 days 08:45:00,0 days 04:58:00,1.2961423905811493,0.20081860883020292,0.9922804174861252,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2022-08-11 20:45:00  1.000000e+07     0.000000              NaT
2022-08-11 21:00:00  1.000000e+07     0.000000              NaT
2022-08-11 21:15:00  1.000000e+07     0.000000              NaT
2022-08-11 21:30:00  1.000000e+07     0.000000              NaT
2022-08-11 21:45:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2022-11-23 23:30:00  1.280072e+07     0.131755              NaT
2022-11-23 23:45:00  1.280072e+07     0.131755              NaT
2022-11-24 00:00:00  1.280072e+07     0.131755              NaT
2022-11-24 00:15:00  1.280072e+07     0.131755              NaT
2022-11-24 00:30:00  1.280072e+07     0.131755 32 days 19:15:00

[10000 rows x 3 columns]","        Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    -212630       151      206       47.03    46.3700  140335.8000   0.014034 2022-08-13 10:30:00 2022-08-14 00:15:00 0 days 13:45:00           70050
1    -218683       206      207       46.37    46.8236  -99194.6088  -0.009782 2022-08-14 00:15:00 2022-08-14 00:30:00 0 days 00:15:00           70050
2    -216824       211      213       46.31    46.7731 -100411.1944  -0.010000 2022-08-14 01:30:00 2022-08-14 02:00:00 0 days 00:30:00           70050
3    -211865       248      272       46.92    45.0336  399662.1360   0.040205 2022-08-14 10:45:00 2022-08-14 16:45:00 0 days 06:00:00           70050
4    -228769       326      334       45.20    43.3920  413614.3520   0.040000 2022-08-15 06:15:00 2022-08-15 08:15:00 0 days 02:00:00           70050
..       ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
131   950094      9595     9606       12.83    12.9583  121897.0602   0.010000 2022-11-19 19:30:00 2022-11-19 22:15:00 0 days 02:45:00           70050
132   952911      9629     9629       12.92    13.0492  123116.1012   0.010000 2022-11-20 04:00:00 2022-11-20 04:00:00 0 days 00:00:00           70050
133   968437      9672     9673       12.84    12.9684  124347.3108   0.010000 2022-11-20 14:45:00 2022-11-20 15:00:00 0 days 00:15:00           70050
134  1065231      9756     9759       11.79    11.9079  125590.7349   0.010000 2022-11-21 11:45:00 2022-11-21 12:30:00 0 days 00:45:00           70050
135  1068632      9861     9866       11.87    11.9786  116053.4352   0.009149 2022-11-22 14:00:00 2022-11-22 15:15:00 0 days 01:15:00           70050

[136 rows x 11 columns]"
4,2022-11-24 00:45:00,2023-03-08 04:30:00,104 days 03:45:00,32.34,10130948.428499995,10656882.033499995,1.309484284999948,41.58415841584158,4.626293384839086,40.78678798967098,0.11342627387110427,0.1764142146493754,0.1946062174589128,-23.772587768506604,-4.027987745155914,48 days 19:00:00,6 days 23:58:00,151,41.05960264900662,4.037238169123358,-4.080876158382485,0.008616293418728382,1 days 04:00:00,0 days 05:12:00,1.0357689264056495,0.02115382718953242,0.06975739756514746,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2022-11-24 00:45:00  1.000000e+07     0.000000              NaT
2022-11-24 01:00:00  1.000000e+07     0.000000              NaT
2022-11-24 01:15:00  1.000000e+07     0.000000              NaT
2022-11-24 01:30:00  1.000000e+07     0.000000              NaT
2022-11-24 01:45:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2023-03-08 03:30:00  1.013095e+07     0.049352              NaT
2023-03-08 03:45:00  1.013095e+07     0.049352              NaT
2023-03-08 04:00:00  1.013095e+07     0.049352              NaT
2023-03-08 04:15:00  1.013095e+07     0.049352              NaT
2023-03-08 04:30:00  1.013095e+07     0.049352 48 days 19:00:00

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    701754       125      136       14.25    14.2000  -35087.7000  -0.003509 2022-11-25 08:00:00 2022-11-25 10:45:00 0 days 02:45:00           80050
1    701754       136      137       14.20    14.3521  106736.7834   0.010711 2022-11-25 10:45:00 2022-11-25 11:00:00 0 days 00:15:00           80050
2    709770       172      191       14.19    14.3319  100716.3630   0.010000 2022-11-25 19:45:00 2022-11-26 00:30:00 0 days 04:45:00           80050
3    716363       296      303       14.20    14.3420  101723.5460   0.010000 2022-11-27 02:45:00 2022-11-27 04:30:00 0 days 01:45:00           80050
4    715964       333      347       14.35    14.3600    7159.6400   0.000697 2022-11-27 12:00:00 2022-11-27 15:30:00 0 days 03:30:00           80050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
146 -429997      9609     9679       21.32    20.4768  362573.4704   0.039550 2023-03-04 03:00:00 2023-03-04 20:30:00 0 days 17:30:00           80050
147 -448898      9730     9751       21.23    21.2200    4488.9800   0.000471 2023-03-05 09:15:00 2023-03-05 14:30:00 0 days 05:15:00           80050
148 -449321      9751     9761       21.22    21.2200      -0.0000  -0.000000 2023-03-05 14:30:00 2023-03-05 17:00:00 0 days 02:30:00           80050
149 -449321      9761     9869       21.22    20.7600  206687.6600   0.021678 2023-03-05 17:00:00 2023-03-06 20:00:00 1 days 03:00:00           80050
150 -469233      9869     9945       20.76    19.9296  389651.0832   0.040000 2023-03-06 20:00:00 2023-03-07 15:00:00 0 days 19:00:00           80050

[151 rows x 11 columns]"
5,2023-03-08 04:45:00,2023-06-20 09:45:00,104 days 05:00:00,38.2,14347982.063399998,14401619.3634,43.479820633999985,-20.389805097451283,250.77995894153574,145.6727497327387,1.7215296574111079,10.46351609323495,17.046138208783326,-14.711834191999973,-1.1291235650622562,44 days 02:00:00,1 days 04:21:00,144,37.5,4.050955414012747,-1.0963280877444026,0.2510260000843756,1 days 20:30:00,0 days 06:27:00,1.4744081841016752,0.26740706186384555,1.9237155169144473,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2023-03-08 04:45:00  1.000000e+07     0.000000              NaT
2023-03-08 05:00:00  1.000000e+07     0.000000              NaT
2023-03-08 05:15:00  1.000000e+07     0.000000              NaT
2023-03-08 05:30:00  1.000000e+07     0.000000              NaT
2023-03-08 05:45:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2023-06-20 08:45:00  1.439268e+07     0.000000              NaT
2023-06-20 09:00:00  1.439268e+07     0.000000              NaT
2023-06-20 09:15:00  1.440162e+07     0.000000              NaT
2023-06-20 09:30:00  1.434798e+07     0.003724              NaT
2023-06-20 09:45:00  1.434798e+07     0.003724  0 days 00:30:00

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0   -554323       288      292       18.04    18.2204  -99999.8692  -0.010000 2023-03-11 04:45:00 2023-03-11 05:45:00 0 days 01:00:00           90050
1   -555555       375      377       17.82    17.9982  -98999.9010  -0.010000 2023-03-12 02:30:00 2023-03-12 03:00:00 0 days 00:30:00           90050
2   -549383       383      386       17.84    18.0083  -92461.1589  -0.009434 2023-03-12 04:30:00 2023-03-12 05:15:00 0 days 00:45:00           90050
3   -544505       392      400       17.83    18.0083  -97085.2415  -0.010000 2023-03-12 06:45:00 2023-03-12 08:45:00 0 days 02:00:00           90050
4   -535755       421      434       17.94    18.1194  -96114.4470  -0.010000 2023-03-12 14:00:00 2023-03-12 17:15:00 0 days 03:15:00           90050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
139  888226      9807     9833       15.65    15.8065  139007.3690   0.010000 2023-06-18 09:45:00 2023-06-18 16:15:00 0 days 06:30:00           90050
140  902298      9875     9905       15.56    15.5200  -36091.9200  -0.002571 2023-06-19 02:45:00 2023-06-19 10:15:00 0 days 07:30:00           90050
141  902298      9905     9918       15.52    15.6853  149149.8594   0.010651 2023-06-19 10:15:00 2023-06-19 13:30:00 0 days 03:15:00           90050
142  908396      9929     9935       15.58    15.7358  141528.0968   0.010000 2023-06-19 16:15:00 2023-06-19 17:45:00 0 days 01:30:00           90050
143 -893955      9983     9999       15.99    15.9300   53637.3000   0.003752 2023-06-20 05:45:00 2023-06-20 09:45:00 0 days 04:00:00           90050

[144 rows x 11 columns]"
6,2023-06-20 10:00:00,2023-10-02 13:45:00,104 days 03:45:00,33.95,10538758.4605,11682924.576600006,5.387584605,50.690954773869336,20.010839127644854,44.427000494578394,0.45042066547091913,0.7728037236006218,0.9649596067130674,-20.737488894283963,-2.621364569712821,67 days 11:15:00,3 days 17:06:00,157,50.318471337579616,4.038507821901316,-4.052259118127399,0.03342905206160651,1 days 01:30:00,0 days 05:16:00,1.0856555632509346,0.04594463750370407,0.2577956218344633,"BBRSIADXEMA(stlo=960,tkpr=1010,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2023-06-20 10:00:00  1.000000e+07     0.000000              NaT
2023-06-20 10:15:00  1.000000e+07     0.000000              NaT
2023-06-20 10:30:00  1.000000e+07     0.000000              NaT
2023-06-20 10:45:00  1.000000e+07     0.000000              NaT
2023-06-20 11:00:00  1.000000e+07     0.000000              NaT
...                           ...          ...              ...
2023-10-02 12:45:00  1.053876e+07     0.097935              NaT
2023-10-02 13:00:00  1.053876e+07     0.097935              NaT
2023-10-02 13:15:00  1.053876e+07     0.097935              NaT
2023-10-02 13:30:00  1.053876e+07     0.097935              NaT
2023-10-02 13:45:00  1.053876e+07     0.097935 67 days 11:15:00

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    586166       225      263       17.06    16.7700 -169988.1400  -0.016999 2023-06-22 18:15:00 2023-06-23 03:45:00 0 days 09:30:00          100050
1    586166       263      311       16.77    16.7700       0.0000   0.000000 2023-06-23 03:45:00 2023-06-23 15:45:00 0 days 12:00:00          100050
2    586166       311      311       16.77    16.9478  104220.3148   0.010602 2023-06-23 15:45:00 2023-06-23 15:45:00 0 days 00:00:00          100050
3    594152       446      451       16.72    16.8973  105343.1496   0.010604 2023-06-25 01:30:00 2023-06-25 02:45:00 0 days 01:15:00          100050
4    584375       506      562       17.18    16.8900 -169468.7500  -0.016880 2023-06-25 16:30:00 2023-06-26 06:30:00 0 days 14:00:00          100050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
152  531331      9416     9503       19.39    19.0900 -159399.3000  -0.015472 2023-09-26 12:00:00 2023-09-27 09:45:00 0 days 21:45:00          100050
153  531332      9503     9509       19.09    19.2809  101431.2788   0.010000 2023-09-27 09:45:00 2023-09-27 11:15:00 0 days 01:30:00          100050
154  538620      9554     9560       19.02    19.2001   97005.4620   0.009469 2023-09-27 22:30:00 2023-09-28 00:00:00 0 days 01:30:00          100050
155  536945      9616     9619       19.26    19.4425   97992.4625   0.009476 2023-09-28 14:00:00 2023-09-28 14:45:00 0 days 00:45:00          100050
156  514263      9782     9803       20.30    20.4929   99201.3327   0.009502 2023-09-30 07:30:00 2023-09-30 12:45:00 0 days 05:15:00          100050

[157 rows x 11 columns]"
7,2023-10-02 14:00:00,2024-01-14 17:45:00,104 days 03:45:00,38.45,15192511.876200007,15192511.876200007,51.925118762000075,325.6768189509306,327.9362058950003,240.5376939885476,1.3633464279848542,9.893421664320114,24.812190214401777,-13.216737541559542,-2.360394490098937,23 days 16:30:00,1 days 17:56:00,125,54.400000000000006,4.008454425363272,-4.01694915254237,0.3351349625562605,1 days 19:00:00,0 days 07:34:00,1.4402470166732941,0.36581935891676237,1.4573220847405743,"BBRSIADXEMA(stlo=960,tkpr=1030,dema_var=40,multiplier=2)","                           Equity  DrawdownPct DrawdownDuration
Date                                                           
2023-10-02 14:00:00  1.000000e+07          0.0              NaT
2023-10-02 14:15:00  1.000000e+07          0.0              NaT
2023-10-02 14:30:00  1.000000e+07          0.0              NaT
2023-10-02 14:45:00  1.000000e+07          0.0              NaT
2023-10-02 15:00:00  1.000000e+07          0.0              NaT
...                           ...          ...              ...
2024-01-14 16:45:00  1.519251e+07          0.0              NaT
2024-01-14 17:00:00  1.519251e+07          0.0              NaT
2024-01-14 17:15:00  1.519251e+07          0.0              NaT
2024-01-14 17:30:00  1.519251e+07          0.0              NaT
2024-01-14 17:45:00  1.519251e+07          0.0              NaT

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    427715       170      221       23.38    23.1200 -111205.9000  -0.011121 2023-10-04 08:30:00 2023-10-04 21:15:00 0 days 12:45:00          110050
1    427716       221      391       23.12    23.4400  136869.1200   0.013841 2023-10-04 21:15:00 2023-10-06 15:45:00 1 days 18:30:00          110050
2    427716       391      440       23.44    24.1432  300769.8912   0.030000 2023-10-06 15:45:00 2023-10-07 04:00:00 0 days 12:15:00          110050
3    443004       515      520       23.31    23.2900   -8860.0800  -0.000858 2023-10-07 22:45:00 2023-10-08 00:00:00 0 days 01:15:00          110050
4    443004       520      556       23.29    23.4300   62020.5600   0.006011 2023-10-08 00:00:00 2023-10-08 09:00:00 0 days 09:00:00          110050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
120  141207      9616     9631       96.81    99.7246  411561.9222   0.030106 2024-01-10 18:00:00 2024-01-10 21:45:00 0 days 03:45:00          110050
121 -139714      9704     9787      100.79    96.7584  563270.9624   0.040000 2024-01-11 16:00:00 2024-01-12 12:45:00 0 days 20:45:00          110050
122  158961      9854     9886       92.13    92.6600   84249.3300   0.005753 2024-01-13 05:30:00 2024-01-13 13:30:00 0 days 08:00:00          110050
123  158961      9886     9895       92.66    92.7900   20664.9300   0.001403 2024-01-13 13:30:00 2024-01-13 15:45:00 0 days 02:15:00          110050
124  158961      9895     9911       92.79    95.5737  442499.7357   0.030000 2024-01-13 15:45:00 2024-01-13 19:45:00 0 days 04:00:00          110050

[125 rows x 11 columns]"
8,2024-01-14 18:00:00,2024-04-27 21:45:00,104 days 03:45:00,41.36,8373388.8040999975,11027516.032699998,-16.266111959000025,39.7215315763302,-46.050169411862974,30.61870482300523,0.0,0.0,0.0,-36.06815606801849,-5.184617452459498,100 days 21:45:00,11 days 08:54:00,145,46.89655172413793,3.011735217044542,-3.011368963900607,-0.12235863835873273,1 days 13:30:00,0 days 06:59:00,0.9113431446526394,-0.09402330677442167,-0.6528101393049146,"BBRSIADXEMA(stlo=970,tkpr=1030,dema_var=40,multiplier=2)","                           Equity  DrawdownPct  DrawdownDuration
Date                                                            
2024-01-14 18:00:00  1.000000e+07     0.000000               NaT
2024-01-14 18:15:00  1.000000e+07     0.000000               NaT
2024-01-14 18:30:00  1.000000e+07     0.000000               NaT
2024-01-14 18:45:00  1.000000e+07     0.000000               NaT
2024-01-14 19:00:00  1.000000e+07     0.000000               NaT
...                           ...          ...               ...
2024-04-27 20:45:00  8.373389e+06     0.240682               NaT
2024-04-27 21:00:00  8.373389e+06     0.240682               NaT
2024-04-27 21:15:00  8.373389e+06     0.240682               NaT
2024-04-27 21:30:00  8.373389e+06     0.240682               NaT
2024-04-27 21:45:00  8.373389e+06     0.240682 100 days 21:45:00

[10000 rows x 3 columns]","       Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  ReturnPct           EntryTime            ExitTime        Duration  Validation_Set
0    105019        96      125       95.22    95.8500   66161.9700   0.006616 2024-01-15 18:00:00 2024-01-16 01:15:00 0 days 07:15:00          120050
1    105019       125      185       95.85    97.2100  142825.8400   0.014189 2024-01-16 01:15:00 2024-01-16 16:15:00 0 days 15:00:00          120050
2    105019       185      221       97.21   100.1263  306266.9097   0.030000 2024-01-16 16:15:00 2024-01-17 01:15:00 0 days 09:00:00          120050
3    106054       256      258       99.15   102.1245  315457.6230   0.030000 2024-01-17 10:00:00 2024-01-17 10:30:00 0 days 00:30:00          120050
4    107543       295      338      100.71   100.9800   29036.6100   0.002681 2024-01-17 19:45:00 2024-01-18 06:30:00 0 days 10:45:00          120050
..      ...       ...      ...         ...        ...          ...        ...                 ...                 ...             ...             ...
140  -49173      9610     9661      156.48   156.9400  -22619.5800  -0.002940 2024-04-23 20:30:00 2024-04-24 09:15:00 0 days 12:45:00          120050
141  -48885      9661     9679      156.94   157.1400   -9777.0000  -0.001274 2024-04-24 09:15:00 2024-04-24 13:45:00 0 days 04:30:00          120050
142  -48760      9679     9686      157.14   152.4258  229864.3920   0.030000 2024-04-24 13:45:00 2024-04-24 15:30:00 0 days 01:45:00          120050
143  -54148      9802     9869      145.75   141.3775  236762.1300   0.030000 2024-04-25 20:30:00 2024-04-26 13:15:00 0 days 16:45:00          120050
144   59313      9962     9982      137.05   141.1718  244476.3234   0.030075 2024-04-27 12:30:00 2024-04-27 17:30:00 0 days 05:00:00          120050

[145 rows x 11 columns]"
